Profile 1             Profile 2             Profile 3             Profile 4             Profile 5             Profile 6             
x       y           x       y           x       y           x       y           x       y           x       y           
137.37308  250.72979            136.90963  191.91661            138.08125  328.2325            -          -              -          -              -          -              
138.3758  256.97027            137.90897  74.461476            139.08914  308.12341            -          -              -          -              -          -              
139.37852  261.24887            138.90831  160.74115            140.09703  264.43503            -          -              -          -              -          -              
140.38124  266.79964            139.90765  232.02743            141.10492  226.38801            -          -              -          -              -          -              
141.38397  284.98857            140.90699  229.21795            142.11282  209.34822            -          -              -          -              -          -              
142.38669  346.87511            141.90633  221.93535            -          -              -          -              -          -              -          -              
143.38941  361.32379            142.90567  220.12272            -          -              -          -              -          -              -          -              
144.39214  428.57087            143.90501  292.72375            -          -              -          -              -          -              -          -              
145.39486  482.23966            144.90435  332.16608            -          -              -          -              -          -              -          -              
146.39758  510.86678            145.90369  540.07709            -          -              -          -              -          -              -          -              
147.40031  543.5082            146.90303  559.18462            -          -              -          -              -          -              -          -              
148.40303  607.2776            147.90237  711.24109            -          -              -          -              -          -              -          -              
149.40575  697.54759            148.90171  715.48804            -          -              -          -              -          -              -          -              
150.40848  673.34598            149.90105  696.63836            -          -              -          -              -          -              -          -              
151.4112  669.24101            150.90039  745.3561            -          -              -          -              -          -              -          -              
152.41392  641.48268            151.89973  684.73049            -          -              -          -              -          -              -          -              
153.41665  585.03388            152.89907  696.49323            -          -              -          -              -          -              -          -              
154.41937  543.15148            153.89841  677.36322            -          -              -          -              -          -              -          -              
155.42209  355.89827            154.89775  673.35292            -          -              -          -              -          -              -          -              
156.42482  345.90872            155.89709  479.7015            -          -              -          -              -          -              -          -              
157.42754  173.85467            156.89643  465.1278            -          -              -          -              -          -              -          -              
158.43026  214.43479            157.89577  318.89653            -          -              -          -              -          -              -          -              
159.43299  354.34058            158.89511  264.71666            -          -              -          -              -          -              -          -              
160.43571  378.43921            159.89445  138.65935            -          -              -          -              -          -              -          -              
161.43843  457.53775            160.89379  88.958794            -          -              -          -              -          -              -          -              
162.44115  451.92131            161.89313  177.03119            -          -              -          -              -          -              -          -              
163.44388  580.53051            162.89248  178.07964            -          -              -          -              -          -              -          -              
164.4466  579.8489            163.89182  429.37535            -          -              -          -              -          -              -          -              
165.44932  765.7112            164.89116  527.09576            -          -              -          -              -          -              -          -              
166.45205  751.84706            165.8905  605.10087            -          -              -          -              -          -              -          -              
167.45477  775.45777            166.88984  579.16626            -          -              -          -              -          -              -          -              
168.45749  759.2497            167.88918  657.36944            -          -              -          -              -          -              -          -              
169.46022  741.30541            168.88852  741.48448            -          -              -          -              -          -              -          -              
170.46294  753.80088            169.88786  672.08668            -          -              -          -              -          -              -          -              
171.46566  601.24696            170.8872  618.45705            -          -              -          -              -          -              -          -              
172.46839  570.13579            171.88654  600.202            -          -              -          -              -          -              -          -              
173.47111  528.48336            172.88588  573.16422            -          -              -          -              -          -              -          -              
174.47383  502.92454            173.88522  475.18959            -          -              -          -              -          -              -          -              
175.47656  329.83866            174.88456  330.07022            -          -              -          -              -          -              -          -              
176.47928  233.92254            175.8839  309.01329            -          -              -          -              -          -              -          -              
177.482  206.45394            176.88324  189.91989            -          -              -          -              -          -              -          -              
178.48473  180.34147            177.88258  184.80494            -          -              -          -              -          -              -          -              
179.48745  226.86196            178.88192  131.5619            -          -              -          -              -          -              -          -              
180.49017  263.50305            179.88126  153.21279            -          -              -          -              -          -              -          -              
181.4929  58.955953            180.8806  228.05204            -          -              -          -              -          -              -          -              
-          -              181.87994  226.51535            -          -              -          -              -          -              -          -              
-          -              182.87928  387.67577            -          -              -          -              -          -              -          -              
-          -              183.87862  335.62331            -          -              -          -              -          -              -          -              
-          -              184.87796  460.0955            -          -              -          -              -          -              -          -              
